Name,Distance (m),Cuisine,Phone,Website,Email,Address
Highlands Coffee,2352,coffee_shop;vietnamese,Không có thông tin,Không có thông tin,Không có thông tin,"33, Hoàng Cầu, Hà Nội"
Twitterbeans Coffee,2091,coffee_shop,Không có thông tin,Không có thông tin,Không có thông tin,"Việt Á building - Số 9, Duy Tân, Hà Nội, 100000"
TwitterBeans Coffee,2406,coffee_shop,Không có thông tin,Không có thông tin,Không có thông tin,"17T5, Hoàng Đạo Thúy, Hà Nội"
Cà Phê 46,1895,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"46, Hoàng Sâm"
Quán Bia Hơi 234,1957,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
True Coffee,1818,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Cà Phê Việt,1422,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Phở 24,1488,vietnamese;noodle,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Onion Cellar Ham Hanh,2266,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Quán Beer 2ku,2476,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Quán Thị Mẹt,2189,regional,Không có thông tin,Không có thông tin,Không có thông tin,"26, Phố Mai Anh Tuấn, Hà Nội"
Nhà hàng Yumi,2842,japanese,Không có thông tin,Không có thông tin,Không có thông tin,"số 24 BT1 khu đô thị mới Mễ Trì hạ, nam Từ Liêm, Hà Nội, Mễ Trì, Hà Nội"
Cà Phê GaraFun,1459,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"5, trần kim xuyến, Hà Nội"
Cà Phê Grazio's,2187,"vietnamese,_italian",Không có thông tin,Không có thông tin,Không có thông tin,"36, Phố Yên Lãng, Hà Nội"
Nhà Hàng Bò Đội Nón,1432,Lẩu_-_nướng_&_các_món_nhậu,+84 6287 9777 - 090.175.9889,http://nhahangbodoinon.vn,Không có thông tin,"60, Trần Đăng Ninh, Hà Nội, 122000"
Nhà Hàng Bún Việt,1999,Bún_Bò_Huế,Không có thông tin,http://www.bunviet.vn/,Không có thông tin,"111, Phõ Láng Hạ, Hà Nội"
Trekking Coffee,2261,coffee_shop,Không có thông tin,Không có thông tin,Không có thông tin,"Số 14 ngõ 66, Ngõ 120 Yên Lãng, Hà Nội"
Pizza Hut,2991,pizza,Không có thông tin,Không có thông tin,Không có thông tin,"138, Phố Tôn Đức Thắng, Hà Nội"
Pizza Hut,2655,pizza,Không có thông tin,Không có thông tin,Không có thông tin,"222, Trần Duy Hưng, Hà Nội"
Pizza Hut,1388,pizza,Không có thông tin,Không có thông tin,Không có thông tin,"146, Phố Trung Hoà, Hà Nội"
DIY Box,2511,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Cà Phê Gardenista,1311,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Cà Phê Mộc 92,1970,Không có thông tin,0986688480,https://m.facebook.com/hiep.doan.754,batcan_1609@yahoo.com,Không có thông tin
Cà Phê Bigone,1719,vietnamese,0986007015,https://m.me/bigone.com.vn,Bigsun1612@gmail.com,"281, Đội Cấn"
Quán Bar Hanoi Ale House,1450,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"5, Trần Kim Xuyến, Hà Nội"
Quán cóc liêu xiêu một câu thơ - B+ cafe,1671,coffee_shop,Không có thông tin,Không có thông tin,Không có thông tin,"N11A, Trần Quý Kiên"
OiShi Ngon,2895,japan_food,0917409312,Không có thông tin,Không có thông tin,"153, Phố Tây Sơn, Ha Noi, +84"
Bánh Mỳ Doner Kebab Dũng Béo,754,Không có thông tin,0989629933,Không có thông tin,Không có thông tin,"ngõ 50, Đường Nguyễn Chí Thanh"
Unknown,2073,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Nhà Hàng & Cà Phê EMM's,1829,international,Không có thông tin,Không có thông tin,Không có thông tin,"110 D1, Trần Huy Liệu, Ha Noi, 118443"
Cà Phê EZ,1544,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Highlands Coffee,2367,coffee_shop;vietnamese,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Trà Bát Bảo Tuấn Béo,2894,Không có thông tin,0912991980,Không có thông tin,batbaotuanbeo75@icloud.com,"6, Phố Bích Câu"
Unknown,1770,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Unknown,1274,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Phõ Huỳnh Thúc Kháng
Unknown,2609,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Unknown,1271,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Unknown,2264,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"167, Đội Cấn"
Unknown,2430,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Unknown,2414,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Unknown,1601,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
